"","SampleID","Type","Name","Code","ReplicateSet","Year","Month","Day","Date","NewLat","NewLon","Marker","Taxon","RawVertReadsPerSample","RawReads","RawPropReads","CorrectedReads","CorrectedPropReads","VolFil","ABL_Sample_Type","DNAConc","Run","Ct1","Ct2","Ct3","CtMean","CtSD","Quant1","Quant2","Quant3","QuantMean","Result","Notes","WPT","MaxFlow","maxPSI","Verified","StartTime","EndTime","TimeAtSite","River.Width","MeanDepth","MeanFlow","WaterTemp","mmHg","kPa","DO.","DOmg.L","C.us..cm","pH.mV","pH","ORP.mV","Chlorine","Alkalinity","CC.","WC","FullTrans","SampleNotes","SiteNotes","Depth1","Depth2","Depth3","Depth4","Depth5","Depth6","Depth7","Depth8","Depth9","Depth10","Depth11","Depth12","Depth13","Depth14","Depth15","Depth16","Depth17","Depth18","Depth19","Depth20","FlowDist.ft","SurfaceFlow1.sec","SurflaceFlow2.sec","SurfaceFlow3.sec","Flow1","Flow2","Flow3","Flow4","Flow5","Flow6","Flow7","Flow8","Flow9","Flow10","Flow11","Flow12","Flow13","Flow14","Flow15","Flow16","Flow17","Flow18","Flow19","Flow20"
"1","10321-C","Center","River 103","103",3,"2021","August","28","8/28/2021",58.0592,-63.04284,"FISHE","Salvelinus alpinus",19685,19685,"1",19668,"0.9991","1.02","Sample",344,"APC0235 Arctic charr qPCR 04","33.768","33.753","34.338",33.953,0.333,10.127,10.232,6.842,9.067,"Detected","","301",NA,NA,NA,NA,NA,NA,64,0.2,0.5,13.4,NA,101.9,"123.3",12.7,46.1,-0.7,6.9,153.1,NA,NA,NA,NA,"Y",NA,NA,0.3,0.4,0.2,0.3,0.1,0.3,0.3,0.3,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.7,0.3,0.2,0.2,0.6,0.7,0.6,0.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","10321-C","Center","River 103","103",3,"2021","August","28","8/28/2021",58.0592,-63.04284,"MIFISHU","Salvelinus alpinus",1243912,1243904,"1",1243896,"1","1.02","Sample",344,"APC0235 Arctic charr qPCR 04","33.768","33.753","34.338",33.953,0.333,10.127,10.232,6.842,9.067,"Detected","","301",NA,NA,NA,NA,NA,NA,64,0.2,0.5,13.4,NA,101.9,"123.3",12.7,46.1,-0.7,6.9,153.1,NA,NA,NA,NA,"Y",NA,NA,0.3,0.4,0.2,0.3,0.1,0.3,0.3,0.3,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.7,0.3,0.2,0.2,0.6,0.7,0.6,0.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","10321-L","Left","River 103","103",2,"2021","August","28","8/28/2021",58.05936,-63.04285,"FISHE","Salvelinus alpinus",14205,14205,"1",14188,"0.9988","1.01","Sample",187,"APC0235 Arctic charr qPCR 04","36.945","35.942","37.428",36.772,0.758,1.135,2.265,0.814,1.40466666666667,"Suspected","","300",NA,NA,NA,NA,NA,NA,64,0.2,0.5,13.4,NA,101.9,"123.3",12.7,46.1,-0.7,6.9,153.1,NA,NA,NA,NA,"Y",NA,NA,0.3,0.4,0.2,0.3,0.1,0.3,0.3,0.3,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.7,0.3,0.2,0.2,0.6,0.7,0.6,0.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","10321-L","Left","River 103","103",2,"2021","August","28","8/28/2021",58.05936,-63.04285,"MIFISHU","Salvelinus alpinus",6,0,"0",0,"0","1.01","Sample",187,"APC0235 Arctic charr qPCR 04","36.945","35.942","37.428",36.772,0.758,1.135,2.265,0.814,1.40466666666667,"Suspected","","300",NA,NA,NA,NA,NA,NA,64,0.2,0.5,13.4,NA,101.9,"123.3",12.7,46.1,-0.7,6.9,153.1,NA,NA,NA,NA,"Y",NA,NA,0.3,0.4,0.2,0.3,0.1,0.3,0.3,0.3,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.7,0.3,0.2,0.2,0.6,0.7,0.6,0.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","10321-R","Right","River 103","103",4,"2021","August","28","8/28/2021",58.05898,-63.04271,"FISHE","Salvelinus alpinus",21096,5043,"0.2391",5027,"0.2383","1.03","Sample",249,"APC0235 Arctic charr qPCR 04","33.813","34.159","34.225",34.066,0.221,9.821,7.737,7.394,8.31733333333333,"Detected","","302",NA,NA,NA,NA,NA,NA,64,0.2,0.5,13.4,NA,101.9,"123.3",12.7,46.1,-0.7,6.9,153.1,NA,NA,NA,NA,"Y",NA,NA,0.3,0.4,0.2,0.3,0.1,0.3,0.3,0.3,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.7,0.3,0.2,0.2,0.6,0.7,0.6,0.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","10321-R","Right","River 103","103",4,"2021","August","28","8/28/2021",58.05898,-63.04271,"MIFISHU","Salvelinus alpinus",1147056,793795,"0.692",793787,"0.692","1.03","Sample",249,"APC0235 Arctic charr qPCR 04","33.813","34.159","34.225",34.066,0.221,9.821,7.737,7.394,8.31733333333333,"Detected","","302",NA,NA,NA,NA,NA,NA,64,0.2,0.5,13.4,NA,101.9,"123.3",12.7,46.1,-0.7,6.9,153.1,NA,NA,NA,NA,"Y",NA,NA,0.3,0.4,0.2,0.3,0.1,0.3,0.3,0.3,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.7,0.3,0.2,0.2,0.6,0.7,0.6,0.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1042019C1","Center","River 104","104",3,"2019","August","28","8/28/2019",57.97812,-63.39281,"FISHE","Salvelinus alpinus",24187,5154,"0.2131",5137,"0.2124","1.04","Sample",252,"APC0235 Arctic charr qPCR 01 R2","32.107","31.939","32.013",32.02,0.084,58.388,65.354,62.179,61.9736666666667,"Detected","","77",0.8,12,1,"15:15","16:17","1:02",NA,50.5,7.6,11.1,764.7,NA,"100.8",11.08,35.6,-25.1,7.44,286.5,NA,NA,100,"breezy","didnt document",NA,"flow measurements 1-8 are for main channel and 9-10 are for small side chanel",22,33,39,37,44,52,60,58,64,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,8.7,9,9.1,9.5,10.4,11.8,10.3,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1042019C1","Center","River 104","104",3,"2019","August","28","8/28/2019",57.97812,-63.39281,"MIFISHU","Salvelinus alpinus",1239480,993350,"0.8014",993341,"0.8014","1.04","Sample",252,"APC0235 Arctic charr qPCR 01 R2","32.107","31.939","32.013",32.02,0.084,58.388,65.354,62.179,61.9736666666667,"Detected","","77",0.8,12,1,"15:15","16:17","1:02",NA,50.5,7.6,11.1,764.7,NA,"100.8",11.08,35.6,-25.1,7.44,286.5,NA,NA,100,"breezy","didnt document",NA,"flow measurements 1-8 are for main channel and 9-10 are for small side chanel",22,33,39,37,44,52,60,58,64,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,8.7,9,9.1,9.5,10.4,11.8,10.3,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1042019C2","Center","River 104","104",3,"2019","August","28","8/28/2019",57.97812,-63.39281,"FISHE","Salvelinus alpinus",24074,15959,"0.6629",15942,"0.6622","1.02","Sample",290,"APC0235 Arctic charr qPCR 01 R2","31.647","31.587","32.205",31.813,0.341,79.537,82.833,54.649,72.3396666666667,"Detected","","77",0.8,12,1,"15:15","16:17","1:02",NA,50.5,7.6,11.1,764.7,NA,"100.8",11.08,35.6,-25.1,7.44,286.5,NA,NA,100,"breezy","didnt document",NA,"flow measurements 1-8 are for main channel and 9-10 are for small side chanel",22,33,39,37,44,52,60,58,64,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,8.7,9,9.1,9.5,10.4,11.8,10.3,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1042019C2","Center","River 104","104",3,"2019","August","28","8/28/2019",57.97812,-63.39281,"MIFISHU","Salvelinus alpinus",800320,575921,"0.7196",575912,"0.7196","1.02","Sample",290,"APC0235 Arctic charr qPCR 01 R2","31.647","31.587","32.205",31.813,0.341,79.537,82.833,54.649,72.3396666666667,"Detected","","77",0.8,12,1,"15:15","16:17","1:02",NA,50.5,7.6,11.1,764.7,NA,"100.8",11.08,35.6,-25.1,7.44,286.5,NA,NA,100,"breezy","didnt document",NA,"flow measurements 1-8 are for main channel and 9-10 are for small side chanel",22,33,39,37,44,52,60,58,64,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,8.7,9,9.1,9.5,10.4,11.8,10.3,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
